CD44,TOP2A,SAMSN1,RBM47,CORO1A,ZC3HAV1,HLAA,group
8.354430216,7.369112228,7.874562197,7.850512437,9.362001633,6.415430981,11.89687645,1
8.011744421,8.059944203,7.316270007,7.310041554,8.479546351,5.663008256,11.81989137,1
7.885615009,7.05695672,6.95505271,6.790219045,8.638520824,5.850508089,12.3355277,1
8.584438592,5.487777825,7.597070681,6.90849815,10.00204017,5.378623775,11.99178394,1
8.880092551,5.72610801,7.980925392,7.739489202,10.1092769,6.147917407,12.46705673,1
6.919565195,6.478647857,5.879013725,6.823569448,7.842584186,4.440605362,11.33609226,0
7.773206055,5.995497398,6.497961655,7.319895359,8.037656847,5.539059773,12.09104417,1
6.983554862,5.417159593,5.726268848,6.013722316,8.277008759,4.83124659,11.30660231,0
5.781294574,5.143885559,4.243974592,5.069455308,6.03397325,3.933696977,10.32596948,0
5.853097784,4.965157594,4.20674602,5.126265765,6.680077611,3.916838455,10.57452071,0
4.884816515,4.224526767,3.931361882,5.203538466,6.356709167,4.29338907,10.46613577,0
9.69888778,7.417497164,9.672542759,9.840229398,9.606078056,6.634135295,12.80603297,1
7.936401419,5.458562425,6.295436562,6.717361046,8.805568385,5.274806536,12.24952902,1
9.097009303,7.906303861,8.041895692,8.302635942,9.916145141,6.168847197,13.11948541,1
8.898195889,7.422083914,7.962552855,8.476189012,9.575312988,6.482177176,12.99957496,1
9.091210743,7.645060792,8.152790339,8.316075924,9.786861676,5.973068608,12.8814874,1
5.689297224,3.69191068,4.070574921,5.225260823,7.143676551,3.835909096,10.5671199,0
6.474246372,4.26824431,4.491962184,5.676710081,6.962762277,4.30261029,10.57273521,0
9.026374738,8.614117052,8.314666188,8.133013704,9.249449923,6.317720283,11.83653069,1
6.727081967,5.846200889,6.098314994,6.497872673,7.798463616,5.114778517,11.30406236,1
10.0593122,8.185302005,8.819628021,8.987170761,10.38464038,7.488912574,12.69071063,1
8.187088408,7.809977154,7.442140564,7.210867924,9.332679744,5.897072387,12.71108633,1
6.752327146,5.600707719,6.235979593,6.766453106,7.790309795,5.314991189,11.81292444,1
8.767855756,7.051330851,8.268817701,8.841099812,9.007196205,6.169743677,12.84912667,1
7.5667705,6.575823986,6.876999461,7.441366036,8.662410027,5.736679682,12.45364956,1
6.608751093,6.241141988,6.06287619,5.962794106,8.490881362,5.049935763,12.02220394,1
8.094992033,6.38871995,7.565909794,7.677914942,8.639229768,5.686739536,12.86081081,1
7.880671137,7.723502078,7.316009026,7.455627972,9.019775349,5.696992116,12.39152239,1
5.968731276,4.940477263,4.991270064,5.430427692,6.484636265,4.355809691,10.71511222,0
6.339644994,5.667553834,4.998213262,5.587655831,7.208090204,4.806635674,11.11098507,0
6.025974801,4.597329521,4.617138405,5.531716729,6.763336736,4.248022409,10.53364153,0
5.77767774,4.649140746,5.5516169,5.802509542,6.385216175,4.408554028,10.71159882,0
7.246893818,5.834234315,5.614224032,6.236628306,8.10731682,5.461454429,10.65378202,0
7.122348489,4.054889055,3.905647138,5.380428729,6.864212669,4.774113991,10.99773964,0
6.394125317,4.725284962,4.883198429,5.902142278,7.584588136,4.654916227,10.85311971,0
6.455732772,5.549569211,6.019854129,6.289138068,6.923652087,4.426547178,10.6633273,0
5.619797768,4.603809628,5.606915953,5.442930422,6.331233909,4.764791506,10.37879448,0
6.523216604,5.404812733,5.228889606,5.805183163,7.536086019,4.570552796,10.64599818,1
6.207276872,4.453734292,4.867372036,5.453175202,6.775221282,4.732382746,10.42155495,0
5.344884814,4.808125168,3.877369328,4.622970113,6.669922382,4.037332966,11.30596634,0
6.014259248,4.829119168,4.622707911,5.368829887,6.9509368,4.337462855,11.46831784,1
6.689603485,5.027100413,5.631531702,5.557207344,7.216382487,4.539746571,10.34313337,1
5.907817817,4.563519347,4.254312309,4.769275373,6.269854208,4.303634539,10.28853268,1
6.470731155,5.185742674,5.294461842,5.798667483,6.977427993,4.559746873,11.35877615,1
5.904675308,4.081340777,4.163335297,5.030221531,5.885804325,4.515167795,9.503896038,0
6.707829797,5.133408272,5.981093813,5.681255457,7.795215175,5.387343689,10.99550582,1
7.100431742,4.661621349,6.203660337,6.105694927,8.376979566,5.710474326,10.77807219,1
7.961664316,6.677886153,6.07214698,6.04606375,8.297367081,5.681846169,10.99197047,1
5.357241754,4.328293373,3.651447603,4.379571798,6.038591846,4.269299513,10.03919,0
6.433999716,5.011087831,4.377017226,5.429866758,7.272518706,4.891523486,10.28338357,0
6.186988563,6.126880655,4.142827555,5.364192145,6.044248562,4.806674524,9.996226247,0
5.707520779,7.305741193,4.173292896,4.778381444,6.422912545,4.553583725,9.723142851,0
7.351483216,7.833183573,6.451370069,6.63771927,8.174703219,5.488153757,10.76548457,1
4.275898596,4.065267842,3.202711031,4.694269151,6.081907878,4.246324042,9.656554355,0
